,match_type,date,home,away,score,points
0,Champions League 1999/2000,13/09/1999,H,Arsenal FC,0:0 (0:0),1
1,Champions League 1999/2000,21/09/1999,A,FC Barcelona,2:4 (0:2),0
2,Champions League 1999/2000,28/09/1999,A,AIK Solna,0:0 (0:0),1
3,Champions League 1999/2000,18/10/1999,H,AIK Solna,3:0 (2:0),3
4,Champions League 1999/2000,26/10/1999,A,Arsenal FC,1:0 (0:0),3
5,Champions League 1999/2000,01/11/1999,H,FC Barcelona,3:3 (1:2),1
6,Champions League 1999/2000,22/11/1999,H,Manchester United,2:0 (1:0),3
7,Champions League 1999/2000,07/12/1999,A,Girondins Bordeaux,0:0 (0:0),1
8,Champions League 1999/2000,29/02/2000,H,Valencia CF,1:0 (1:0),3
9,Champions League 1999/2000,06/03/2000,A,Valencia CF,0:2 (0:1),0
10,Champions League 1999/2000,14/03/2000,A,Manchester United,1:3 (1:2),0
11,Champions League 1999/2000,20/03/2000,H,Girondins Bordeaux,3:3 (0:1),1
12,Champions League Qual. 1999/2000,11/08/1999,H,Widzew Łódź,3:1 (1:0),3
13,Champions League Qual. 1999/2000,25/08/1999,A,Widzew Łódź,2:0 (1:0),3
14,Serie A 1999/2000,28/08/1999,H,AS Bari,1:0 (0:0),3
15,Serie A 1999/2000,10/09/1999,A,Reggina Calcio,2:2 (2:1),1
16,Serie A 1999/2000,18/09/1999,H,Hellas Verona,4:1 (2:0),3
17,Serie A 1999/2000,25/09/1999,A,Udinese Calcio,1:1 (1:0),1
18,Serie A 1999/2000,02/10/1999,H,AS Roma,1:3 (0:1),0
19,Serie A 1999/2000,15/10/1999,H,Parma AC,0:2 (0:0),0
20,Serie A 1999/2000,23/10/1999,A,Piacenza Calcio,0:2 (0:0),0
21,Serie A 1999/2000,29/10/1999,H,Torino FC,1:1 (0:0),1
22,Serie A 1999/2000,05/11/1999,A,Cagliari Calcio,1:1 (1:0),1
23,Serie A 1999/2000,19/11/1999,H,AC Perugia,1:0 (0:0),3
24,Serie A 1999/2000,26/11/1999,A,Bologna FC,0:0 (0:0),1
25,Serie A 1999/2000,04/12/1999,H,AC Milan,2:1 (2:1),3
26,Serie A 1999/2000,11/12/1999,A,Lazio Roma,0:2 (0:1),0
27,Serie A 1999/2000,18/12/1999,H,Juventus,1:1 (1:1),1
28,Serie A 1999/2000,05/01/2000,A,US Lecce,0:0 (0:0),1
29,Serie A 1999/2000,08/01/2000,H,Inter,2:1 (1:0),3
30,Serie A 1999/2000,14/01/2000,A,AC Venezia,1:2 (1:1),0
31,Serie A 1999/2000,22/01/2000,A,AS Bari,0:1 (0:0),0
32,Serie A 1999/2000,29/01/2000,H,Reggina Calcio,1:0 (0:0),3
33,Serie A 1999/2000,05/02/2000,A,Hellas Verona,2:2 (1:0),1
34,Serie A 1999/2000,12/02/2000,H,Udinese Calcio,1:1 (0:0),1
35,Serie A 1999/2000,18/02/2000,A,AS Roma,0:4 (0:2),0
36,Serie A 1999/2000,25/02/2000,A,Parma AC,4:0 (1:0),3
37,Serie A 1999/2000,03/03/2000,H,Piacenza Calcio,2:1 (0:0),3
38,Serie A 1999/2000,11/03/2000,A,Torino FC,0:1 (0:1),0
39,Serie A 1999/2000,17/03/2000,H,Cagliari Calcio,2:0 (1:0),3
40,Serie A 1999/2000,24/03/2000,A,AC Perugia,2:1 (1:1),3
41,Serie A 1999/2000,31/03/2000,H,Bologna FC,2:2 (1:1),1
42,Serie A 1999/2000,08/04/2000,A,AC Milan,1:1 (0:0),1
43,Serie A 1999/2000,14/04/2000,H,Lazio Roma,3:3 (1:2),1
44,Serie A 1999/2000,21/04/2000,A,Juventus,0:1 (0:1),0
45,Serie A 1999/2000,29/04/2000,H,US Lecce,3:0 (2:0),3
46,Serie A 1999/2000,06/05/2000,A,Inter,4:0 (1:0),3
47,Serie A 1999/2000,13/05/2000,H,AC Venezia,3:0 (2:0),3
48,Coppa Italia 1999/2000,30/11/1999,A,AC Perugia,0:1,0
49,Coppa Italia 1999/2000,14/12/1999,H,AC Perugia,2:0,3
50,Coppa Italia 1999/2000,12/01/2000,A,AC Venezia,0:0,1
51,Coppa Italia 1999/2000,25/01/2000,H,AC Venezia,1:1,1
