,match_type,date,home,away,score,points
0,Europa League 1993/1994,14/09/1993,H,Rapid Bucureşti,3:1 (1:0),3
1,Europa League 1993/1994,29/09/1993,A,Rapid Bucureşti,2:0 (0:0),3
2,Europa League 1993/1994,20/10/1993,H,Apollon Limassol,1:0 (1:0),3
3,Europa League 1993/1994,02/11/1993,A,Apollon Limassol,3:3 (3:2),1
4,Europa League 1993/1994,23/11/1993,A,Norwich City,1:0 (0:0),3
5,Europa League 1993/1994,07/12/1993,H,Norwich City,1:0 (0:0),3
6,Europa League 1993/1994,28/02/1994,A,Borussia Dortmund,3:1 (2:0),3
7,Europa League 1993/1994,16/03/1994,H,Borussia Dortmund,1:2 (0:1),0
8,Europa League 1993/1994,29/03/1994,A,Cagliari Calcio,2:3 (1:1),0
9,Europa League 1993/1994,11/04/1994,H,Cagliari Calcio,3:0 (1:0),3
10,Europa League 1993/1994,25/04/1994,A,SV Austria Salzburg,1:0 (1:0),3
11,Europa League 1993/1994,10/05/1994,H,SV Austria Salzburg,1:0 (0:0),3
12,Serie A 1993/1994,28/08/1993,H,AC Reggiana,2:1 (1:1),3
13,Serie A 1993/1994,04/09/1993,A,US Foggia,1:1 (1:0),1
14,Serie A 1993/1994,07/09/1993,H,US Cremonese,2:1 (1:0),3
15,Serie A 1993/1994,11/09/1993,A,Cagliari Calcio,0:1 (0:1),0
16,Serie A 1993/1994,18/09/1993,A,Lazio Roma,0:0 (0:0),1
17,Serie A 1993/1994,25/09/1993,H,Piacenza Calcio,2:0 (1:0),3
18,Serie A 1993/1994,03/10/1993,A,SSC Napoli,0:0 (0:0),1
19,Serie A 1993/1994,17/10/1993,H,Torino FC,0:0 (0:0),1
20,Serie A 1993/1994,24/10/1993,A,Udinese Calcio,1:0 (1:0),3
21,Serie A 1993/1994,30/10/1993,H,Parma AC,3:2 (2:1),3
22,Serie A 1993/1994,06/11/1993,H,AC Milan,1:2 (0:1),0
23,Serie A 1993/1994,20/11/1993,A,Genoa CFC,0:1 (0:0),0
24,Serie A 1993/1994,27/11/1993,H,Juventus,2:2 (1:0),1
25,Serie A 1993/1994,04/12/1993,A,US Lecce,3:1 (1:0),3
26,Serie A 1993/1994,11/12/1993,H,Sampdoria,3:0 (2:0),3
27,Serie A 1993/1994,18/12/1993,A,AS Roma,1:1 (0:1),1
28,Serie A 1993/1994,01/01/1994,H,Atalanta,1:2 (0:1),0
29,Serie A 1993/1994,08/01/1994,A,AC Reggiana,0:1 (0:0),0
30,Serie A 1993/1994,15/01/1994,H,US Foggia,3:1 (2:0),3
31,Serie A 1993/1994,22/01/1994,A,US Cremonese,4:1 (3:0),3
32,Serie A 1993/1994,29/01/1994,H,Cagliari Calcio,3:3 (1:2),1
33,Serie A 1993/1994,05/02/1994,H,Lazio Roma,1:2 (1:0),0
34,Serie A 1993/1994,12/02/1994,A,Piacenza Calcio,1:2 (0:1),0
35,Serie A 1993/1994,19/02/1994,H,SSC Napoli,0:0 (0:0),1
36,Serie A 1993/1994,26/02/1994,A,Torino FC,0:2 (0:1),0
37,Serie A 1993/1994,05/03/1994,H,Udinese Calcio,1:0 (0:0),3
38,Serie A 1993/1994,12/03/1994,A,Parma AC,1:4 (0:1),0
39,Serie A 1993/1994,19/03/1994,A,AC Milan,1:2 (0:0),0
40,Serie A 1993/1994,26/03/1994,H,Genoa CFC,1:3 (1:2),0
41,Serie A 1993/1994,03/04/1994,A,Juventus,0:1 (0:0),0
42,Serie A 1993/1994,09/04/1994,H,US Lecce,4:1 (2:0),3
43,Serie A 1993/1994,16/04/1994,A,Sampdoria,1:3 (1:1),0
44,Serie A 1993/1994,23/04/1994,H,AS Roma,2:2 (1:1),1
45,Serie A 1993/1994,30/04/1994,A,Atalanta,1:2 (1:1),0
46,Coppa Italia 1993/1994,26/10/1993,H,Lucchese,2:0,3
47,Coppa Italia 1993/1994,09/11/1993,A,Lucchese,1:2,0
48,Coppa Italia 1993/1994,01/12/1993,A,Udinese Calcio,0:0,1
49,Coppa Italia 1993/1994,14/12/1993,H,Udinese Calcio,2:1,3
50,Coppa Italia 1993/1994,05/01/1994,A,Sampdoria,0:1,0
51,Coppa Italia 1993/1994,26/01/1994,H,Sampdoria,1:1,1
