"Real GDP by metropolitan area (millions of chained 2009 dollars)"
"Levels" 
"Bureau of Economic Analysis" 
"All industry total"
"Fips","Area","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",2877,3068,2991,3081,3026,3119,3207,3243,3206,3350,3422,3435,3515,3362,3487
"14260","Boise City, ID (Metropolitan Statistical Area)",20113,20667,21484,22488,23923,25508,26239,25752,24248,24761,24740,25371,26126,26717,27417
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",285262,285152,291163,298333,304518,310425,320201,320299,314241,327268,334803,343290,340695,348266,355904
"14500","Boulder, CO (Metropolitan Statistical Area)",17794,15990,16189,16782,17270,17585,18443,18531,18150,18631,19042,19682,20255,20792,21538
"14540","Bowling Green, KY (Metropolitan Statistical Area)",4209,4367,4575,4777,5106,5382,5379,5411,4993,5262,5299,5475,5644,5739,5862
"14740","Bremerton-Silverdale, WA (Metropolitan Statistical Area)",8170,8814,8925,8869,8997,9284,9146,9150,8987,8960,8880,8847,8714,8965,9102
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",77658,76720,77722,82159,83772,86163,88843,83598,78169,81528,83291,86256,87200,88545,89307
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)",6573,6749,6914,7001,7160,7448,7612,7758,7807,7958,7937,8146,8172,8353,8480
"15260","Brunswick, GA (Metropolitan Statistical Area)",3038,3105,3283,3431,3484,3608,3552,3508,3412,3246,3211,3212,3211,3179,3183
"15380","Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",43337,45061,45644,46566,46625,47206,46258,46196,47096,48082,48334,48969,49346,49549,50011
"15500","Burlington, NC (Metropolitan Statistical Area)",4576,4681,4500,4625,4671,4842,4692,4693,4298,4391,4489,4716,4585,4464,4543
"15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)",8903,9141,9695,10074,10268,10470,10356,10533,10451,11071,11555,11714,11552,11665,11668
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)",3988,4214,4460,4562,4561,4755,4812,4821,5035,5322,5513,5454,5381,5376,5435
"15940","Canton-Massillon, OH (Metropolitan Statistical Area)",13963,14046,14130,14363,14515,14083,13858,13759,12860,13191,13791,14204,15296,15932,16046
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",18313,18966,19654,21251,23477,24178,23530,21661,19854,19563,19160,19906,20792,21589,22726
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)",2980,3047,3132,3152,3254,3361,3470,3464,3538,3474,3402,3363,3433,3441,3381
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)",3571,3701,3780,3857,3977,4092,4053,4119,4202,4244,4285,4352,4418,4360,4421
"16180","Carson City, NV (Metropolitan Statistical Area)",2642,2675,2840,3001,3127,3164,3154,2975,2760,2793,2738,2677,2665,2704,2736
"16220","Casper, WY (Metropolitan Statistical Area)",4177,4471,4451,4879,5380,6054,5939,7113,5629,5532,5753,5570,5407,5622,5646
"16300","Cedar Rapids, IA (Metropolitan Statistical Area)",10940,10663,11531,12380,12928,12642,13893,13528,15120,15551,16004,15881,15944,16409,16552
"16540","Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",3416,3461,3674,3966,4191,4353,4436,4428,4175,4231,4249,4216,4326,4432,4484
"16580","Champaign-Urbana, IL (Metropolitan Statistical Area)",7904,8197,8321,8430,8482,8797,8864,9281,9394,9455,9313,9448,9655,9684,9746
"16620","Charleston, WV (Metropolitan Statistical Area)",12305,12352,12172,12190,12314,12563,12657,12956,12909,13136,13518,12879,12619,12723,12446
"16700","Charleston-North Charleston, SC (Metropolitan Statistical Area)",21610,22520,23594,24438,25754,26399,27508,28026,27696,28351,29514,30197,30420,31284,32541
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",93304,99546,102011,106953,114797,120403,116383,118575,111664,113489,121075,121250,124998,129359,134930
"16820","Charlottesville, VA (Metropolitan Statistical Area)",7657,7935,8253,8693,9169,9426,9484,9602,9584,9947,10267,10543,10605,10917,10889
"16860","Chattanooga, TN-GA (Metropolitan Statistical Area)",19878,20222,20394,20884,21189,22015,22372,21760,20297,20674,20833,21092,21152,21195,21672
"16940","Cheyenne, WY (Metropolitan Statistical Area)",3512,3672,3884,4035,4152,4481,4711,5044,4599,4689,4806,4855,4798,4817,4832
"16980","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",504554,505548,511959,524237,533687,546150,553376,538525,520096,527330,534126,549332,544728,552991,570082
"17020","Chico, CA (Metropolitan Statistical Area)",5393,5787,5970,6157,6406,6416,6459,6337,6260,6228,6099,5986,6349,6404,6716
"17140","Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",97036,98934,100862,102850,105007,104664,105331,104586,100448,103061,105261,107393,107782,111622,113601
"17300","Clarksville, TN-KY (Metropolitan Statistical Area)",6800,7032,7531,7813,8540,8900,8748,9049,9101,9394,9974,10005,9909,9742,9877
"17420","Cleveland, TN (Metropolitan Statistical Area)",3337,3447,3492,3614,3541,3551,3423,3448,3317,3354,3426,3789,3857,4004,4011
"17460","Cleveland-Elyria, OH (Metropolitan Statistical Area)",105474,106802,109500,113116,113244,112757,112553,111430,105166,107972,111127,111797,111245,114189,115432
"17660","Coeur d'Alene, ID (Metropolitan Statistical Area)",3166,3275,3509,3737,4061,4336,4521,4468,4315,4290,4301,4264,4497,4588,4670
"17780","College Station-Bryan, TX (Metropolitan Statistical Area)",5472,5269,5589,5751,5957,6229,6366,6541,7047,7197,7163,7500,7730,8110,8336
"17820","Colorado Springs, CO (Metropolitan Statistical Area)",22995,22861,23665,24112,25123,25188,25456,24796,25026,26007,26385,26672,26314,26538,27209
"17860","Columbia, MO (Metropolitan Statistical Area)",5855,5614,6037,6196,6391,6579,6610,6510,6545,6700,6782,6878,7246,7305,7396
"17900","Columbia, SC (Metropolitan Statistical Area)",27512,27860,28890,29924,30635,31726,32450,32486,31739,31613,31838,32055,32478,33478,34186
"17980","Columbus, GA-AL (Metropolitan Statistical Area)",10472,10183,10466,10625,10925,11100,11422,11364,11495,11736,12022,12232,12337,12158,12196
"18020","Columbus, IN (Metropolitan Statistical Area)",3563,3467,3563,3836,3899,4201,4454,4598,3981,4483,4719,4965,5022,5143,5227
"18140","Columbus, OH (Metropolitan Statistical Area)",88450,91449,92445,95094,96701,97240,97995,96150,93069,95577,99409,103717,105166,107634,111199
