,match_type,date,home,away,score,points
0,Europa League 2015/2016,17/09/2015,H,Qarabağ FK,3:1 (2:1),3
1,Europa League 2015/2016,01/10/2015,A,AS Monaco,1:1 (1:0),1
2,Europa League 2015/2016,22/10/2015,A,RSC Anderlecht,1:2 (1:1),0
3,Europa League 2015/2016,05/11/2015,H,RSC Anderlecht,2:1 (1:0),3
4,Europa League 2015/2016,26/11/2015,A,Qarabağ FK,1:0 (0:0),3
5,Europa League 2015/2016,10/12/2015,H,AS Monaco,4:1 (3:0),3
6,Europa League 2015/2016,18/02/2016,A,ACF Fiorentina,1:1 (1:0),1
7,Europa League 2015/2016,25/02/2016,H,ACF Fiorentina,3:0 (1:0),3
8,Europa League 2015/2016,10/03/2016,A,Borussia Dortmund,0:3 (0:1),0
9,Europa League 2015/2016,17/03/2016,H,Borussia Dortmund,1:2 (0:1),0
10,Premier League 2015/2016,08/08/2015,A,Manchester United,0:1 (0:1),0
11,Premier League 2015/2016,15/08/2015,H,Stoke City,2:2 (2:0),1
12,Premier League 2015/2016,22/08/2015,A,Leicester City,1:1 (0:0),1
13,Premier League 2015/2016,29/08/2015,H,Everton FC,0:0 (0:0),1
14,Premier League 2015/2016,13/09/2015,A,Sunderland AFC,1:0 (0:0),3
15,Premier League 2015/2016,20/09/2015,H,Crystal Palace,1:0 (0:0),3
16,Premier League 2015/2016,26/09/2015,H,Manchester City,4:1 (1:1),3
17,Premier League 2015/2016,04/10/2015,A,Swansea City,2:2 (1:2),1
18,Premier League 2015/2016,17/10/2015,H,Liverpool FC,0:0 (0:0),1
19,Premier League 2015/2016,25/10/2015,A,AFC Bournemouth,5:1 (3:1),3
20,Premier League 2015/2016,02/11/2015,H,Aston Villa,3:1 (2:0),3
21,Premier League 2015/2016,08/11/2015,A,Arsenal FC,1:1 (1:0),1
22,Premier League 2015/2016,22/11/2015,H,West Ham United,4:1 (2:0),3
23,Premier League 2015/2016,29/11/2015,H,Chelsea FC,0:0 (0:0),1
24,Premier League 2015/2016,05/12/2015,A,West Bromwich Albion,1:1 (1:1),1
25,Premier League 2015/2016,13/12/2015,H,Newcastle United,1:2 (1:0),0
26,Premier League 2015/2016,19/12/2015,A,Southampton FC,2:0 (2:0),3
27,Premier League 2015/2016,26/12/2015,H,Norwich City,3:0 (2:0),3
28,Premier League 2015/2016,28/12/2015,A,Watford FC,2:1 (1:1),3
29,Premier League 2015/2016,03/01/2016,A,Everton FC,1:1 (1:1),1
30,Premier League 2015/2016,13/01/2016,H,Leicester City,0:1 (0:0),0
31,Premier League 2015/2016,16/01/2016,H,Sunderland AFC,4:1 (1:1),3
32,Premier League 2015/2016,23/01/2016,A,Crystal Palace,3:1 (0:1),3
33,Premier League 2015/2016,02/02/2016,A,Norwich City,3:0 (2:0),3
34,Premier League 2015/2016,06/02/2016,H,Watford FC,1:0 (0:0),3
35,Premier League 2015/2016,14/02/2016,A,Manchester City,2:1 (0:0),3
36,Premier League 2015/2016,28/02/2016,H,Swansea City,2:1 (0:1),3
37,Premier League 2015/2016,02/03/2016,A,West Ham United,0:1 (0:1),0
38,Premier League 2015/2016,05/03/2016,H,Arsenal FC,2:2 (0:1),1
39,Premier League 2015/2016,13/03/2016,A,Aston Villa,2:0 (1:0),3
40,Premier League 2015/2016,20/03/2016,H,AFC Bournemouth,3:0 (2:0),3
41,Premier League 2015/2016,02/04/2016,A,Liverpool FC,1:1 (0:0),1
42,Premier League 2015/2016,10/04/2016,H,Manchester United,3:0 (0:0),3
43,Premier League 2015/2016,18/04/2016,A,Stoke City,4:0 (1:0),3
44,Premier League 2015/2016,25/04/2016,H,West Bromwich Albion,1:1 (1:0),1
45,Premier League 2015/2016,02/05/2016,A,Chelsea FC,2:2 (2:0),1
46,Premier League 2015/2016,08/05/2016,H,Southampton FC,1:2 (1:1),0
47,Premier League 2015/2016,15/05/2016,A,Newcastle United,1:5 (0:2),0
48,FA Cup 2015/2016,10/01/2016,H,Leicester City,2:2 (1:1),1
49,FA Cup 2015/2016,20/01/2016,A,Leicester City,2:0 (1:0),3
50,FA Cup 2015/2016,30/01/2016,A,Colchester United,4:1 (1:0),3
51,FA Cup 2015/2016,21/02/2016,H,Crystal Palace,0:1 (0:1),0
52,League Cup 2015/2016,23/09/2015,H,Arsenal FC,1:2 (0:1),0
