,match_type,date,home,away,score,points
0,Premier League 2001/2002,18/08/2001,H,Aston Villa,0:0 (0:0),1
1,Premier League 2001/2002,20/08/2001,A,Everton FC,1:1 (1:0),1
2,Premier League 2001/2002,25/08/2001,A,Blackburn Rovers,1:2 (0:1),0
3,Premier League 2001/2002,09/09/2001,H,Southampton FC,2:0 (0:0),3
4,Premier League 2001/2002,16/09/2001,H,Chelsea FC,2:3 (0:1),0
5,Premier League 2001/2002,19/09/2001,A,Sunderland AFC,2:1 (1:0),3
6,Premier League 2001/2002,22/09/2001,A,Liverpool FC,0:1 (0:0),0
7,Premier League 2001/2002,29/09/2001,H,Manchester United,3:5 (3:0),0
8,Premier League 2001/2002,15/10/2001,H,Derby County,3:1 (2:1),3
9,Premier League 2001/2002,21/10/2001,A,Newcastle United,2:0 (2:0),3
10,Premier League 2001/2002,27/10/2001,H,Middlesbrough FC,2:1 (0:1),3
11,Premier League 2001/2002,04/11/2001,A,Leeds United,1:2 (0:0),0
12,Premier League 2001/2002,17/11/2001,H,Arsenal FC,1:1 (0:0),1
13,Premier League 2001/2002,24/11/2001,A,West Ham United,1:0 (0:0),3
14,Premier League 2001/2002,03/12/2001,H,Bolton Wanderers,3:2 (0:1),3
15,Premier League 2001/2002,08/12/2001,A,Charlton Athletic,1:3 (0:2),0
16,Premier League 2001/2002,15/12/2001,H,Fulham FC,4:0 (2:0),3
17,Premier League 2001/2002,22/12/2001,H,Ipswich Town,1:2 (1:1),0
18,Premier League 2001/2002,26/12/2001,A,Southampton FC,0:1 (0:0),0
19,Premier League 2001/2002,29/12/2001,A,Aston Villa,1:1 (1:0),1
20,Premier League 2001/2002,01/01/2002,H,Blackburn Rovers,1:0 (1:0),3
21,Premier League 2001/2002,12/01/2002,A,Ipswich Town,1:2 (0:1),0
22,Premier League 2001/2002,19/01/2002,H,Everton FC,1:1 (1:1),1
23,Premier League 2001/2002,30/01/2002,H,Newcastle United,1:3 (1:0),0
24,Premier League 2001/2002,02/02/2002,A,Derby County,0:1 (0:1),0
25,Premier League 2001/2002,09/02/2002,H,Leicester City,2:1 (1:0),3
26,Premier League 2001/2002,02/03/2002,H,Sunderland AFC,2:1 (1:1),3
27,Premier League 2001/2002,06/03/2002,A,Manchester United,0:4 (0:2),0
28,Premier League 2001/2002,13/03/2002,A,Chelsea FC,0:4 (0:1),0
29,Premier League 2001/2002,18/03/2002,H,Charlton Athletic,0:1 (0:0),0
30,Premier League 2001/2002,24/03/2002,A,Fulham FC,2:0 (2:0),3
31,Premier League 2001/2002,30/03/2002,A,Middlesbrough FC,1:1 (1:0),1
32,Premier League 2001/2002,01/04/2002,H,Leeds United,2:1 (2:0),3
33,Premier League 2001/2002,06/04/2002,A,Arsenal FC,1:2 (0:1),0
34,Premier League 2001/2002,13/04/2002,H,West Ham United,1:1 (0:0),1
35,Premier League 2001/2002,20/04/2002,A,Bolton Wanderers,1:1 (1:0),1
36,Premier League 2001/2002,27/04/2002,H,Liverpool FC,1:0 (1:0),3
37,Premier League 2001/2002,11/05/2002,A,Leicester City,1:2 (0:0),0
38,FA Cup 2001/2002,15/01/2002,A,Coventry City,2:0 (1:0),3
39,FA Cup 2001/2002,04/02/2002,H,Bolton Wanderers,4:0 (2:0),3
40,FA Cup 2001/2002,16/02/2002,H,Tranmere Rovers,4:0 (2:0),3
41,FA Cup 2001/2002,09/03/2002,H,Chelsea FC,0:4 (0:1),0
42,League Cup 2001/2002,12/09/2001,H,Torquay United,2:0 (0:0),3
43,League Cup 2001/2002,08/10/2001,A,Tranmere Rovers,4:0 (2:0),3
44,League Cup 2001/2002,28/11/2001,A,Fulham FC,2:1 (1:1),3
45,League Cup 2001/2002,10/12/2001,H,Bolton Wanderers,6:0 (4:0),3
46,League Cup 2001/2002,08/01/2002,A,Chelsea FC,1:2 (0:1),0
47,League Cup 2001/2002,22/01/2002,H,Chelsea FC,5:1 (2:0),3
48,League Cup 2001/2002,23/02/2002,N,Blackburn Rovers,1:2 (1:1),0
