,match_type,date,home,away,score,points
0,Premier League 1998/1999,15/08/1998,H,Aston Villa,0:0 (0:0),1
1,Premier League 1998/1999,22/08/1998,A,Leicester City,0:2 (0:2),0
2,Premier League 1998/1999,29/08/1998,H,Tottenham Hotspur,0:1 (0:1),0
3,Premier League 1998/1999,08/09/1998,A,Nottingham Forest,2:0 (0:0),3
4,Premier League 1998/1999,12/09/1998,H,Leeds United,0:0 (0:0),1
5,Premier League 1998/1999,19/09/1998,A,Middlesbrough FC,2:2 (0:2),1
6,Premier League 1998/1999,26/09/1998,H,Blackburn Rovers,0:0 (0:0),1
7,Premier League 1998/1999,03/10/1998,A,Wimbledon FC,2:1 (1:1),3
8,Premier League 1998/1999,17/10/1998,H,Liverpool FC,0:0 (0:0),1
9,Premier League 1998/1999,24/10/1998,A,Sheffield Wednesday,0:0 (0:0),1
10,Premier League 1998/1999,31/10/1998,H,Manchester United,1:4 (1:2),0
11,Premier League 1998/1999,08/11/1998,A,Arsenal FC,0:1 (0:1),0
12,Premier League 1998/1999,15/11/1998,A,Coventry City,0:3 (0:1),0
13,Premier League 1998/1999,23/11/1998,H,Newcastle United,1:0 (1:0),3
14,Premier League 1998/1999,28/11/1998,A,Charlton Athletic,2:1 (1:0),3
15,Premier League 1998/1999,05/12/1998,H,Chelsea FC,0:0 (0:0),1
16,Premier League 1998/1999,12/12/1998,H,Southampton FC,1:0 (1:0),3
17,Premier League 1998/1999,19/12/1998,A,West Ham United,1:2 (0:1),0
18,Premier League 1998/1999,26/12/1998,H,Derby County,0:0 (0:0),1
19,Premier League 1998/1999,28/12/1998,A,Tottenham Hotspur,1:4 (1:1),0
20,Premier League 1998/1999,09/01/1999,H,Leicester City,0:0 (0:0),1
21,Premier League 1998/1999,18/01/1999,A,Aston Villa,0:3 (0:1),0
22,Premier League 1998/1999,30/01/1999,H,Nottingham Forest,0:1 (0:0),0
23,Premier League 1998/1999,07/02/1999,A,Derby County,1:2 (1:0),0
24,Premier League 1998/1999,17/02/1999,H,Middlesbrough FC,5:0 (2:0),3
25,Premier League 1998/1999,20/02/1999,A,Leeds United,0:1 (0:0),0
26,Premier League 1998/1999,27/02/1999,H,Wimbledon FC,1:1 (0:1),1
27,Premier League 1998/1999,10/03/1999,A,Blackburn Rovers,2:1 (1:1),3
28,Premier League 1998/1999,13/03/1999,H,Arsenal FC,0:2 (0:1),0
29,Premier League 1998/1999,21/03/1999,A,Manchester United,1:3 (0:0),0
30,Premier League 1998/1999,03/04/1999,A,Liverpool FC,2:3 (1:2),0
31,Premier League 1998/1999,05/04/1999,H,Sheffield Wednesday,1:2 (1:0),0
32,Premier League 1998/1999,11/04/1999,H,Coventry City,2:0 (1:0),3
33,Premier League 1998/1999,17/04/1999,A,Newcastle United,3:1 (2:0),3
34,Premier League 1998/1999,24/04/1999,H,Charlton Athletic,4:1 (2:0),3
35,Premier League 1998/1999,01/05/1999,A,Chelsea FC,1:3 (0:1),0
36,Premier League 1998/1999,08/05/1999,H,West Ham United,6:0 (3:0),3
37,Premier League 1998/1999,16/05/1999,A,Southampton FC,0:2 (0:1),0
38,FA Cup 1998/1999,01/01/1999,A,Bristol City,2:0 (0:0),3
39,FA Cup 1998/1999,22/01/1999,H,Ipswich Town,1:0 (1:0),3
40,FA Cup 1998/1999,12/02/1999,H,Coventry City,2:1 (1:0),3
41,FA Cup 1998/1999,06/03/1999,A,Newcastle United,1:4 (0:1),0
42,League Cup 1998/1999,14/09/1998,A,Huddersfield Town,1:1 (1:1),1
43,League Cup 1998/1999,22/09/1998,H,Huddersfield Town,2:1 (2:1),3
44,League Cup 1998/1999,27/10/1998,A,Middlesbrough FC,"3:2 (0:0, 1:1) aet",3
45,League Cup 1998/1999,10/11/1998,H,Sunderland AFC,"4:5 (0:1, 1:1, 1:1) pso",0
