,match_type,date,home,away,score,points
0,Champions League 2001/2002,18/09/2001,A,Fenerbahçe,3:0 (2:0),3
1,Champions League 2001/2002,25/09/2001,A,Bayer Leverkusen,1:2 (1:0),0
2,Champions League 2001/2002,10/10/2001,H,Olympique Lyon,2:0 (0:0),3
3,Champions League 2001/2002,17/10/2001,H,Bayer Leverkusen,2:1 (2:1),3
4,Champions League 2001/2002,23/10/2001,A,Olympique Lyon,3:2 (2:0),3
5,Champions League 2001/2002,31/10/2001,H,Fenerbahçe,1:0 (0:0),3
6,Champions League 2001/2002,20/11/2001,A,Liverpool FC,3:1 (1:1),3
7,Champions League 2001/2002,05/12/2001,H,Galatasaray,2:2 (0:2),1
8,Champions League 2001/2002,20/02/2002,H,AS Roma,1:1 (0:0),1
9,Champions League 2001/2002,26/02/2002,A,AS Roma,0:3 (0:0),0
10,Champions League 2001/2002,13/03/2002,H,Liverpool FC,0:0 (0:0),1
11,Champions League 2001/2002,19/03/2002,A,Galatasaray,1:0 (0:0),3
12,Champions League 2001/2002,03/04/2002,A,Panathinaikos,0:1 (0:0),0
13,Champions League 2001/2002,09/04/2002,H,Panathinaikos,3:1 (1:1),3
14,Champions League 2001/2002,23/04/2002,H,Real Madrid,0:2 (0:0),0
15,Champions League 2001/2002,01/05/2002,A,Real Madrid,1:1 (0:1),1
16,Champions League Qual. 2001/2002,07/08/2001,A,Wisła Kraków,4:3 (2:3),3
17,Champions League Qual. 2001/2002,20/08/2001,H,Wisła Kraków,1:0 (0:0),3
18,Primera División 2001/2002,25/08/2001,A,Sevilla FC,2:1 (1:0),3
19,Primera División 2001/2002,08/09/2001,H,Rayo Vallecano,1:1 (0:0),1
20,Primera División 2001/2002,14/09/2001,A,CA Osasuna,0:0 (0:0),1
21,Primera División 2001/2002,21/09/2001,H,CD Tenerife,2:0 (1:0),3
22,Primera División 2001/2002,28/09/2001,A,Real Sociedad,2:0 (1:0),3
23,Primera División 2001/2002,02/10/2001,H,RCD Mallorca,3:0 (3:0),3
24,Primera División 2001/2002,05/10/2001,A,Deportivo La Coruña,1:2 (1:0),0
25,Primera División 2001/2002,13/10/2001,H,Valencia CF,2:2 (1:1),1
26,Primera División 2001/2002,19/10/2001,A,Málaga CF,1:1 (0:0),1
27,Primera División 2001/2002,26/10/2001,H,Real Betis,3:0 (1:0),3
28,Primera División 2001/2002,03/11/2001,A,Real Madrid,0:2 (0:1),0
29,Primera División 2001/2002,10/11/2001,H,Real Valladolid,4:0 (2:0),3
30,Primera División 2001/2002,16/11/2001,A,UD Las Palmas,0:0 (0:0),1
31,Primera División 2001/2002,23/11/2001,H,Athletic Bilbao,1:2 (0:1),0
32,Primera División 2001/2002,30/11/2001,A,CD Alavés,0:2 (0:1),0
33,Primera División 2001/2002,08/12/2001,H,Celta Vigo,2:2 (1:0),1
34,Primera División 2001/2002,15/12/2001,A,Villarreal CF,1:0 (1:0),3
35,Primera División 2001/2002,21/12/2001,A,Espanyol Barcelona,0:2 (0:0),0
36,Primera División 2001/2002,05/01/2002,H,Real Zaragoza,2:0 (1:0),3
37,Primera División 2001/2002,12/01/2002,H,Sevilla FC,3:1 (1:1),3
38,Primera División 2001/2002,19/01/2002,A,Rayo Vallecano,1:2 (0:1),0
39,Primera División 2001/2002,26/01/2002,H,CA Osasuna,0:1 (0:0),0
40,Primera División 2001/2002,01/02/2002,A,CD Tenerife,6:0 (2:0),3
41,Primera División 2001/2002,05/02/2002,H,Real Sociedad,2:0 (0:0),3
42,Primera División 2001/2002,08/02/2002,A,RCD Mallorca,0:0 (0:0),1
43,Primera División 2001/2002,15/02/2002,H,Deportivo La Coruña,3:2 (1:1),3
44,Primera División 2001/2002,22/02/2002,A,Valencia CF,0:2 (0:1),0
45,Primera División 2001/2002,02/03/2002,H,Málaga CF,5:1 (3:0),3
46,Primera División 2001/2002,08/03/2002,A,Real Betis,1:2 (0:1),0
47,Primera División 2001/2002,15/03/2002,H,Real Madrid,1:1 (0:1),1
48,Primera División 2001/2002,23/03/2002,A,Real Valladolid,2:1 (2:1),3
49,Primera División 2001/2002,29/03/2002,H,UD Las Palmas,1:1 (1:0),1
50,Primera División 2001/2002,06/04/2002,A,Athletic Bilbao,2:0 (1:0),3
51,Primera División 2001/2002,13/04/2002,H,CD Alavés,3:2 (1:0),3
52,Primera División 2001/2002,19/04/2002,A,Celta Vigo,1:2 (0:1),0
53,Primera División 2001/2002,26/04/2002,H,Villarreal CF,4:1 (0:1),3
54,Primera División 2001/2002,04/05/2002,H,Espanyol Barcelona,2:0 (1:0),3
55,Primera División 2001/2002,10/05/2002,A,Real Zaragoza,1:1 (1:1),1
56,Copa del Rey 2001/2002,07/11/2001,A,UE Figueres,"0:1 (0:0, 0:0) aet",0
