,match_type,date,home,away,score,points
0,Cup Winners Cup 1996/1997,11/09/1996,H,AEK Larnaca,2:0 (1:0),3
1,Cup Winners Cup 1996/1997,25/09/1996,A,AEK Larnaca,0:0 (0:0),1
2,Cup Winners Cup 1996/1997,16/10/1996,H,Crvena Zvezda,3:1 (2:1),3
3,Cup Winners Cup 1996/1997,30/10/1996,A,Crvena Zvezda,1:1 (0:0),1
4,Cup Winners Cup 1996/1997,05/03/1997,H,AIK Solna,3:1 (1:1),3
5,Cup Winners Cup 1996/1997,19/03/1997,A,AIK Solna,1:1 (1:0),1
6,Cup Winners Cup 1996/1997,09/04/1997,H,ACF Fiorentina,1:1 (1:0),1
7,Cup Winners Cup 1996/1997,23/04/1997,A,ACF Fiorentina,2:0 (2:0),3
8,Cup Winners Cup 1996/1997,13/05/1997,N,Paris Saint-Germain,1:0 (1:0),3
9,Primera División 1996/1997,31/08/1996,A,Real Oviedo,4:2 (0:0),3
10,Primera División 1996/1997,06/09/1996,H,Espanyol Barcelona,2:1 (0:0),3
11,Primera División 1996/1997,14/09/1996,A,Racing Santander,1:1 (1:0),1
12,Primera División 1996/1997,21/09/1996,H,Real Sociedad,3:2 (1:0),3
13,Primera División 1996/1997,28/09/1996,A,Real Zaragoza,5:3 (1:2),3
14,Primera División 1996/1997,01/10/1996,H,CD Tenerife,1:1 (0:0),1
15,Primera División 1996/1997,11/10/1996,A,SD Compostela,5:1 (3:0),3
16,Primera División 1996/1997,19/10/1996,H,CD Logroñés,8:0 (4:0),3
17,Primera División 1996/1997,22/10/1996,A,Sevilla FC,1:0 (0:0),3
18,Primera División 1996/1997,25/10/1996,H,Valencia CF,3:2 (2:0),3
19,Primera División 1996/1997,03/11/1996,A,Sporting Gijón,0:0 (0:0),1
20,Primera División 1996/1997,08/11/1996,H,Atlético Madrid,3:3 (2:1),1
21,Primera División 1996/1997,17/11/1996,H,Real Valladolid,6:1 (3:0),3
22,Primera División 1996/1997,22/11/1996,A,Athletic Bilbao,1:2 (1:0),0
23,Primera División 1996/1997,01/12/1996,H,CF Extremadura,3:0 (3:0),3
24,Primera División 1996/1997,06/12/1996,A,Real Madrid,0:2 (0:1),0
25,Primera División 1996/1997,21/12/1996,H,Celta Vigo,1:0 (1:0),3
26,Primera División 1996/1997,03/01/1997,A,Deportivo La Coruña,1:0 (0:0),3
27,Primera División 1996/1997,12/01/1997,H,Hércules CF,2:3 (2:2),0
28,Primera División 1996/1997,18/01/1997,A,Real Betis,4:2 (1:2),3
29,Primera División 1996/1997,25/01/1997,H,Rayo Vallecano,6:0 (5:0),3
30,Primera División 1996/1997,01/02/1997,H,Real Oviedo,2:2 (0:0),1
31,Primera División 1996/1997,08/02/1997,A,Espanyol Barcelona,0:2 (0:1),0
32,Primera División 1996/1997,15/02/1997,H,Racing Santander,1:0 (1:0),3
33,Primera División 1996/1997,19/02/1997,A,Real Sociedad,0:2 (0:1),0
34,Primera División 1996/1997,22/02/1997,H,Real Zaragoza,4:1 (3:0),3
35,Primera División 1996/1997,28/02/1997,A,CD Tenerife,0:4 (0:1),0
36,Primera División 1996/1997,08/03/1997,H,SD Compostela,3:0 (2:0),3
37,Primera División 1996/1997,15/03/1997,A,CD Logroñés,1:0 (0:0),3
38,Primera División 1996/1997,22/03/1997,H,Sevilla FC,4:0 (0:0),3
39,Primera División 1996/1997,29/03/1997,A,Valencia CF,1:1 (0:1),1
40,Primera División 1996/1997,05/04/1997,H,Sporting Gijón,4:0 (2:0),3
41,Primera División 1996/1997,12/04/1997,A,Atlético Madrid,5:2 (2:1),3
42,Primera División 1996/1997,15/04/1997,A,Real Valladolid,1:3 (1:1),0
43,Primera División 1996/1997,19/04/1997,H,Athletic Bilbao,2:0 (0:0),3
44,Primera División 1996/1997,04/05/1997,A,CF Extremadura,3:1 (2:1),3
45,Primera División 1996/1997,09/05/1997,H,Real Madrid,1:0 (1:0),3
46,Primera División 1996/1997,18/05/1997,A,Celta Vigo,3:1 (2:0),3
47,Primera División 1996/1997,23/05/1997,H,Deportivo La Coruña,1:0 (0:0),3
48,Primera División 1996/1997,31/05/1997,A,Hércules CF,1:2 (1:1),0
49,Primera División 1996/1997,14/06/1997,H,Real Betis,3:0 (1:0),3
50,Primera División 1996/1997,21/06/1997,A,Rayo Vallecano,2:1 (1:1),3
51,Copa del Rey 1996/1997,30/01/1997,H,Real Madrid,3:2,3
52,Copa del Rey 1996/1997,06/02/1997,A,Real Madrid,1:1,1
53,Copa del Rey 1996/1997,26/02/1997,A,Atlético Madrid,2:2,1
54,Copa del Rey 1996/1997,12/03/1997,H,Atlético Madrid,5:4,3
55,Copa del Rey 1996/1997,26/03/1997,A,UD Las Palmas,4:0,3
56,Copa del Rey 1996/1997,03/04/1997,H,UD Las Palmas,3:0,3
57,Copa del Rey 1996/1997,28/06/1997,N,Real Betis,"3:2 (1:1, 2:2) aet",3
58,Supercopa 1996,24/08/1996,H,Atlético Madrid,5:2 (2:1),3
59,Supercopa 1996,27/08/1996,A,Atlético Madrid,1:3 (0:1),0
