,start,end,Duration,Characteristics
0,1975-05-16,1976-05-16,12.0,
1,1978-02-16,1979-02-16,12.0,
2,1980-07-16,1981-07-16,12.0,
3,1982-10-16,1984-02-16,16.0,
4,1985-07-16,1987-10-16,27.0,
5,1990-01-16,1990-07-16,6.0,
6,1991-03-16,1994-06-16,39.0,
7,1996-01-16,1997-10-16,21.0,
8,1998-11-16,2000-04-16,17.0,
9,2001-11-16,2002-11-16,12.0,
10,2003-06-16,2005-03-16,21.0,
11,2007-01-16,2007-11-16,10.0,
12,2009-06-16,2010-06-16,12.0,
13,2013-01-16,2014-07-16,18.0,
14,2015-12-16,2017-04-11,16.0,
