,start_date,end_date,team,role
0,09/1996,06/2019,Arsenal FC,Manager
1,01/1995,06/1996,Nagoya Grampus Eight,Manager
2,07/1987,06/1994,AS Monaco,Manager
3,07/1984,06/1987,AS Nancy,Manager
