,start_date,end_date,team,role
0,07/2014,06/2020,Juventus,Manager
1,07/2010,01/2014,AC Milan,Manager
2,07/2008,04/2010,Cagliari Calcio,Manager
3,07/2007,06/2008,Sassuolo Calcio,Manager
