,start_date,end_date,team,role
0,07/2016,06/2019,Manchester City,Manager
1,07/2013,06/2016,Bayern München,Manager
2,07/2008,06/2012,FC Barcelona,Manager
3,07/2007,06/2008,FC Barcelona B,Manager
