,start_date,end_date,team,role
0,07/2016,09/2017,Bayern München,Manager
1,07/2013,06/2015,Real Madrid,Manager
2,01/2012,06/2013,Paris Saint-Germain,Manager
3,07/2009,06/2011,Chelsea FC,Manager
4,11/2001,06/2009,AC Milan,Manager
5,07/1999,06/2001,Juventus,Manager
6,07/1996,06/1998,Parma AC,Manager
7,07/1995,06/1996,AC Reggiana,Manager
