,start_date,end_date,team,role
0,11/1986,06/2013,Manchester United,Manager
1,07/1978,10/1986,Aberdeen FC,Manager
2,10/1974,04/1978,St. Mirren FC,Manager
3,07/1974,09/1974,East Stirlingshire FC,Manager
