,match_type,date,home,away,score,points
0,Europa League 1986/1987,16/09/1986,H,Toulouse FC,1:0 (0:0),3
1,Europa League 1986/1987,01/10/1986,A,Toulouse FC,"3:4 (0:1, 0:1, 0:1) pso",0
2,Serie A 1986/1987,13/09/1986,A,Brescia Calcio,1:0 (1:0),3
3,Serie A 1986/1987,20/09/1986,H,Udinese Calcio,1:1 (1:0),1
4,Serie A 1986/1987,27/09/1986,A,US Avellino,0:0 (0:0),1
5,Serie A 1986/1987,05/10/1986,H,Torino FC,3:1 (1:1),3
6,Serie A 1986/1987,12/10/1986,A,Sampdoria,2:1 (1:0),3
7,Serie A 1986/1987,19/10/1986,H,Atalanta,2:2 (1:1),1
8,Serie A 1986/1987,26/10/1986,A,AS Roma,1:0 (0:0),3
9,Serie A 1986/1987,01/11/1986,H,Inter,0:0 (0:0),1
10,Serie A 1986/1987,08/11/1986,A,Juventus,3:1 (0:0),3
11,Serie A 1986/1987,22/11/1986,H,Empoli FC,4:0 (2:0),3
12,Serie A 1986/1987,29/11/1986,H,Hellas Verona,0:0 (0:0),1
13,Serie A 1986/1987,13/12/1986,A,AC Milan,0:0 (0:0),1
14,Serie A 1986/1987,20/12/1986,H,Calcio Como,2:1 (2:0),3
15,Serie A 1986/1987,03/01/1987,A,ACF Fiorentina,1:3 (0:2),0
16,Serie A 1986/1987,10/01/1987,H,Ascoli Calcio,3:0 (0:0),3
17,Serie A 1986/1987,17/01/1987,H,Brescia Calcio,2:1 (1:0),3
18,Serie A 1986/1987,31/01/1987,A,Udinese Calcio,3:0 (2:0),3
19,Serie A 1986/1987,07/02/1987,H,US Avellino,3:0 (0:0),3
20,Serie A 1986/1987,21/02/1987,A,Torino FC,1:0 (0:0),3
21,Serie A 1986/1987,28/02/1987,H,Sampdoria,1:1 (1:1),1
22,Serie A 1986/1987,07/03/1987,A,Atalanta,1:0 (1:0),3
23,Serie A 1986/1987,14/03/1987,H,AS Roma,0:0 (0:0),1
24,Serie A 1986/1987,21/03/1987,A,Inter,0:1 (0:0),0
25,Serie A 1986/1987,28/03/1987,H,Juventus,2:1 (1:0),3
26,Serie A 1986/1987,04/04/1987,A,Empoli FC,0:0 (0:0),1
27,Serie A 1986/1987,11/04/1987,A,Hellas Verona,0:3 (0:3),0
28,Serie A 1986/1987,25/04/1987,H,AC Milan,2:1 (2:0),3
29,Serie A 1986/1987,02/05/1987,A,Calcio Como,1:1 (0:0),1
30,Serie A 1986/1987,09/05/1987,H,ACF Fiorentina,1:1 (1:1),1
31,Serie A 1986/1987,16/05/1987,A,Ascoli Calcio,1:1 (1:0),1
32,Coppa Italia 1986/1987,07/06/1987,H,Atalanta,3:0,3
33,Coppa Italia 1986/1987,13/06/1987,A,Atalanta,1:0,3
